Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
,,,,,,,0.09,0.66,0,0,0.09,0.67,0,0.51,0.09,0.66,0,0,0.09,0.69,0,0,0.09,0.71,0,0,0.09,0.71,0,0,0.09,0.69,0,0,0.09,0.71,0,0,0.09,0.7,0,0.43,0.09,0.71,0,0
,,,,,,,0.1,0.66,0,0,0.1,0.67,0.01,0.08,0.1,0.66,0,0,0.1,0.69,0,0,0.1,0.71,0,0,0.1,0.71,0,0,0.1,0.69,0,0,0.1,0.71,0,0,0.1,0.7,0.01,0.6,0.1,0.71,0,0
,,,,,,,0.11,0.66,0,0.08,0.11,0.67,0,-0.51,0.11,0.66,0,-0.08,0.11,0.69,0,0,0.11,0.71,0,0,0.11,0.71,0,0,0.11,0.69,0,-0.09,0.11,0.71,0,0,0.11,0.7,0.01,-0.43,0.11,0.71,0,0
,,,,,,,0.12,0.66,0,-0.43,0.12,0.67,0,0,0.12,0.66,0,0.43,0.12,0.69,0,0,0.12,0.71,0,0,0.12,0.71,0,0,0.12,0.69,0,0.52,0.12,0.71,0,0,0.12,0.7,0,-0.52,0.12,0.71,0,0
,,,,,,,0.13,0.66,-0.01,-0.6,0.13,0.67,0,0,0.13,0.66,0.01,0.59,0.13,0.69,0,0,0.13,0.71,0,0,0.13,0.71,0,0,0.13,0.69,0.01,0.09,0.13,0.71,0,0,0.13,0.7,0,-0.09,0.13,0.71,0,0
,,,,,,,0.14,0.66,-0.01,0.43,0.14,0.67,0,0,0.14,0.66,0.01,-0.43,0.14,0.69,0,-0.09,0.14,0.71,0,0,0.14,0.71,0,0,0.14,0.69,0,-0.52,0.14,0.71,0,0,0.14,0.7,0,0.43,0.14,0.71,0,0
,,,,,,,0.15,0.66,0,0.51,0.15,0.67,0,0,0.15,0.66,0,-0.51,0.15,0.69,0,0.43,0.15,0.71,0,0,0.15,0.71,0,0,0.15,0.69,0,0.09,0.15,0.71,0,0,0.15,0.7,0.01,0.6,0.15,0.71,0,0
,,,,,,,0.16,0.66,0,0,0.16,0.67,0,-0.08,0.16,0.66,0,-0.08,0.16,0.69,0.01,0.6,0.16,0.71,0,0,0.16,0.71,0,0,0.16,0.69,0,-0.43,0.16,0.71,0,0.09,0.16,0.7,0.01,-0.43,0.16,0.71,0,0
,,,,,,,0.17,0.66,0,0,0.17,0.67,0,0.43,0.17,0.66,0,0.43,0.17,0.69,0.01,-0.43,0.17,0.71,0,0,0.17,0.71,0,0,0.17,0.69,-0.01,-0.34,0.17,0.71,0,-0.25,0.17,0.7,0,-0.52,0.17,0.71,0,0
,,,,,,,0.18,0.66,0,0,0.18,0.67,0.01,0.6,0.18,0.66,0.01,0.59,0.18,0.69,0,-0.52,0.18,0.71,0,0.09,0.18,0.71,0,0,0.18,0.69,-0.01,-0.43,0.18,0.71,-0.01,0.57,0.18,0.7,0,0,0.18,0.71,0,-0.35
,,,,,,,0.19,0.66,0,0,0.19,0.67,0.01,-0.43,0.19,0.66,0.01,-0.43,0.19,0.69,0,0,0.19,0.71,0,-0.43,0.19,0.71,0,0,0.19,0.69,-0.02,-2.67,0.19,0.71,0.01,-7.41,0.19,0.7,0,-0.09,0.19,0.71,-0.01,0.66
,,,,,,,0.2,0.66,0,0,0.2,0.67,0,-0.51,0.2,0.66,0,-0.51,0.2,0.69,0,-0.09,0.2,0.71,-0.01,-0.61,0.2,0.71,0,0,0.2,0.69,-0.06,-5.16,0.2,0.71,-0.15,-25.09,0.2,0.7,0,0.43,0.2,0.71,0.01,9.1
,,,,,,,0.21,0.66,0,0,0.21,0.67,0,0,0.21,0.66,0,-0.08,0.21,0.69,0,0.43,0.21,0.71,-0.01,0.43,0.21,0.71,0,0,0.21,0.69,-0.12,-2.5,0.21,0.71,-0.49,-24.39,0.21,0.7,0.01,0.61,0.21,0.71,0.17,-0.51
,,,,,,,0.22,0.66,0,-0.08,0.22,0.67,0,0,0.22,0.66,0,0.43,0.22,0.69,0.01,0.6,0.22,0.71,0,0.52,0.22,0.71,0,0,0.22,0.69,-0.11,-2.16,0.22,0.7,-0.64,-10.82,0.22,0.7,0.01,-0.43,0.22,0.71,0,-24.55
,,,,,,,0.23,0.66,0,0.43,0.23,0.67,0,0,0.23,0.66,0.01,0.59,0.23,0.69,0.01,-0.43,0.23,0.71,0,0,0.23,0.71,0,0,0.23,0.69,-0.16,-7.58,0.23,0.69,-0.7,-8.3,0.23,0.7,0,-0.52,0.23,0.71,-0.32,-1
,,,,,,,0.24,0.66,0.01,0.6,0.24,0.67,0,0,0.24,0.66,0.01,-0.43,0.24,0.69,0,-0.52,0.24,0.71,0,0,0.24,0.71,0,0,0.24,0.68,-0.26,-6.29,0.24,0.69,-0.81,-8.31,0.24,0.7,0,-0.09,0.24,0.7,-0.02,14.39
,,,,,,,0.25,0.66,0.01,-0.43,0.25,0.67,0,0,0.25,0.66,0,-0.51,0.25,0.69,0,0,0.25,0.71,0,0,0.25,0.71,0,0,0.25,0.68,-0.29,-4.4,0.25,0.68,-0.87,-5.2,0.25,0.7,0,0.43,0.25,0.71,-0.03,-13.9
,,,,,,,0.26,0.66,0,-0.51,0.26,0.67,0,0,0.26,0.66,0,0,0.26,0.69,0,0,0.26,0.71,0,0.09,0.26,0.71,0,0,0.26,0.68,-0.35,-6.39,0.26,0.67,-0.91,-5.12,0.26,0.7,0.01,0.69,0.26,0.7,-0.29,-4.25
,,,,,,,0.27,0.66,0,0,0.27,0.67,0,0,0.27,0.66,0,-0.08,0.27,0.69,0,-0.09,0.27,0.71,0,-0.43,0.27,0.71,0,0,0.27,0.67,-0.42,-6.91,0.27,0.66,-0.97,-5.72,0.27,0.7,0.01,-0.68,0.27,0.7,-0.11,7.13
,,,,,,,0.28,0.66,0,0,0.28,0.67,0,0,0.28,0.66,0,0.43,0.28,0.69,0,0.43,0.28,0.71,-0.01,-0.61,0.28,0.71,0,0,0.28,0.67,-0.49,-6.99,0.28,0.65,-1.03,-5.21,0.28,0.7,-0.01,-1.81,0.28,0.7,-0.15,-17.4
,,,,,,,0.29,0.66,0,0,0.29,0.67,0,0,0.29,0.66,0.01,0.59,0.29,0.69,0.01,0.6,0.29,0.71,-0.01,0.43,0.29,0.71,0,0,0.29,0.66,-0.56,-6.48,0.29,0.64,-1.08,-5.36,0.29,0.7,-0.02,-1.47,0.29,0.7,-0.46,-19.26
,,,,,,,0.3,0.66,0,0,0.3,0.67,0,-0.08,0.3,0.66,0.01,-0.43,0.3,0.69,0.01,-0.43,0.3,0.71,0,0.61,0.3,0.71,0,0,0.3,0.66,-0.62,-6.48,0.3,0.63,-1.13,-4.42,0.3,0.7,-0.03,-1.04,0.3,0.69,-0.54,-2.17
,,,,,,,0.31,0.66,0,0,0.31,0.67,0,0.43,0.31,0.66,0,-0.51,0.31,0.69,0,-0.52,0.31,0.71,0,-0.43,0.31,0.71,0,0,0.31,0.65,-0.69,-6.65,0.31,0.62,-1.17,-3.91,0.31,0.7,-0.04,4.07,0.31,0.69,-0.5,-1.39
,,,,,,,0.32,0.66,0,0,0.32,0.67,0.01,0.6,0.32,0.66,0,-0.08,0.32,0.69,0,-0.09,0.32,0.71,-0.01,-0.61,0.32,0.71,0,0,0.32,0.64,-0.75,-5.63,0.32,0.6,-1.21,-4.13,0.32,0.7,0.05,-3.86,0.32,0.68,-0.57,-5.97
,,,,,,,0.33,0.66,0,0,0.33,0.67,0.01,-0.43,0.33,0.66,0,0.43,0.33,0.69,0,0.52,0.33,0.71,-0.01,0.43,0.33,0.71,0,0,0.33,0.64,-0.8,-5.63,0.33,0.59,-1.25,-2.76,0.33,0.7,-0.12,-10.26,0.33,0.68,-0.62,-6.57
,,,,,,,0.34,0.66,0,0,0.34,0.67,0,-0.51,0.34,0.66,0.01,0.59,0.34,0.69,0.01,0.17,0.34,0.71,0,0.52,0.34,0.71,0,0,0.34,0.63,-0.86,-5.71,0.34,0.58,-1.27,-1.74,0.34,0.7,-0.16,-1.89,0.34,0.67,-0.7,-6.22
,,,,,,,0.35,0.66,0,0,0.35,0.67,0,0,0.35,0.66,0.01,-0.43,0.35,0.69,0,-0.95,0.35,0.71,0,0,0.35,0.71,0,0,0.35,0.62,-0.91,-5.28,0.35,0.57,-1.28,-1.81,0.35,0.7,-0.16,-9.05,0.35,0.66,-0.75,-5.19
,,,,,,,0.36,0.66,0,0,0.36,0.67,0,0,0.36,0.66,0,-0.51,0.36,0.69,-0.01,-0.43,0.36,0.71,0,0.09,0.36,0.71,0,0.18,0.36,0.61,-0.97,-4.92,0.36,0.55,-1.3,-1.37,0.36,0.69,-0.34,-7.42,0.36,0.65,-0.8,-5.2
,,,,,,,0.37,0.66,0,0.08,0.37,0.67,0,0.08,0.37,0.66,0,0,0.37,0.69,-0.01,-0.34,0.37,0.71,0,-0.43,0.37,0.71,0,1.72,0.37,0.6,-1.01,-3.98,0.37,0.54,-1.31,-0.87,0.37,0.69,-0.31,-1.03,0.37,0.65,-0.85,-5.28
,,,,,,,0.38,0.66,0,-0.43,0.38,0.67,0,-0.35,0.38,0.66,0,0,0.38,0.69,-0.02,-0.6,0.38,0.71,-0.01,-0.61,0.38,0.71,0.03,-9.8,0.38,0.59,-1.05,-3.47,0.38,0.53,-1.32,-1,0.38,0.69,-0.36,-4.92,0.38,0.64,-0.91,-4.93
,,,,,,,0.39,0.66,-0.01,-0.6,0.39,0.67,-0.01,-0.86,0.39,0.66,0,0,0.39,0.69,-0.02,-1.55,0.39,0.71,-0.01,0.78,0.39,0.71,-0.19,-31.58,0.39,0.58,-1.08,-3.54,0.39,0.51,-1.33,0.36,0.39,0.68,-0.41,-6.3,0.39,0.63,-0.95,-3.9
,,,,,,,0.4,0.66,-0.01,0.43,0.4,0.67,-0.02,-0.61,0.4,0.66,0,0,0.4,0.69,-0.05,-5.42,0.4,0.71,0.01,-0.76,0.4,0.71,-0.6,-28.73,0.4,0.57,-1.12,-3.18,0.4,0.5,-1.31,-2.4,0.4,0.68,-0.49,-7.59,0.4,0.62,-0.98,-3.98
,,,,,,,0.41,0.66,0,0.51,0.41,0.67,-0.02,-1.9,0.41,0.66,0,0,0.41,0.69,-0.13,-4.13,0.41,0.71,-0.03,-4.66,0.41,0.7,-0.77,-13.16,0.41,0.56,-1.14,-2.17,0.41,0.49,-1.38,-4.74,0.41,0.67,-0.56,-6.14,0.41,0.61,-1.03,-3.62
,,,,,,,0.42,0.66,0,0,0.42,0.67,-0.05,-3.53,0.42,0.66,0,0.17,0.42,0.69,-0.13,-1.98,0.42,0.71,-0.09,-1.59,0.42,0.69,-0.86,-7.53,0.42,0.55,-1.16,-2.17,0.42,0.47,-1.41,1.58,0.42,0.67,-0.61,-5.62,0.42,0.6,-1.06,-2.53
,,,,,,,0.43,0.66,0,0,0.43,0.67,-0.09,-3.01,0.43,0.66,0,-0.61,0.43,0.69,-0.17,-5.85,0.43,0.7,-0.06,8.09,0.43,0.68,-0.92,-3.91,0.43,0.53,-1.19,-1.86,0.43,0.46,-1.35,6.41,0.43,0.66,-0.67,-5.62,0.43,0.59,-1.08,-3.11
,,,,,,,0.44,0.66,0,0,0.44,0.67,-0.11,-2.93,0.44,0.66,-0.01,-2.07,0.44,0.68,-0.25,-4.4,0.44,0.7,0.08,7.78,0.44,0.67,-0.94,-3.9,0.44,0.52,-1.2,-4.33,0.44,0.45,-1.28,8.13,0.44,0.65,-0.72,-5.62,0.44,0.58,-1.12,-2.82
,,,,,,,0.45,0.66,0,0,0.45,0.67,-0.15,-3.28,0.45,0.66,-0.04,-2.5,0.45,0.68,-0.25,-3.45,0.45,0.71,0.1,-0.81,0.45,0.66,-1,-4.15,0.45,0.51,-1.27,-4.97,0.45,0.43,-1.18,0.68,0.45,0.65,-0.78,-5.71,0.45,0.56,-1.14,-1.37
,,,,,,,0.46,0.66,0,0,0.46,0.67,-0.18,-4.14,0.46,0.66,-0.06,-2.93,0.46,0.68,-0.32,-6.21,0.46,0.71,0.06,-11.36,0.46,0.65,-1.02,-2.52,0.46,0.5,-1.3,-0.25,0.46,0.42,-1.27,5.81,0.46,0.64,-0.84,-5.28,0.46,0.55,-1.15,-0.94
,,,,,,,0.47,0.66,0,0,0.47,0.67,-0.23,-5.17,0.47,0.66,-0.1,-3.36,0.47,0.67,-0.38,-5.18,0.47,0.71,-0.13,-13.59,0.47,0.64,-1.05,-3.11,0.47,0.48,-1.28,1.45,0.47,0.41,-1.07,17.98,0.47,0.63,-0.89,-4.85,0.47,0.54,-1.16,-0.37
,,,,,,,0.48,0.66,0,0,0.48,0.66,-0.28,-5.17,0.48,0.66,-0.13,-3.71,0.48,0.67,-0.42,-5.01,0.48,0.7,-0.21,6.29,0.48,0.63,-1.08,-2.76,0.48,0.47,-1.27,4.29,0.48,0.4,-0.91,-0.11,0.48,0.62,-0.93,-4.34,0.48,0.53,-1.15,-0.86
,,,,,,,0.49,0.66,0,0,0.49,0.66,-0.33,-5.18,0.49,0.66,-0.17,-4.66,0.49,0.67,-0.48,-6.29,0.49,0.7,0,3.74,0.49,0.62,-1.1,-1.74,0.49,0.46,-1.19,0.96,0.49,0.39,-1.07,-8.01,0.49,0.61,-0.98,-4.49,0.49,0.52,-1.17,-0.44
,,,,,,,0.5,0.66,0,0.08,0.5,0.66,-0.39,-5.18,0.5,0.65,-0.22,-5.09,0.5,0.66,-0.54,-4.84,0.5,0.7,-0.14,-6.39,0.5,0.61,-1.12,-1.81,0.5,0.45,-1.25,0.08,0.5,0.38,-1.07,2.37,0.5,0.6,-1.02,-3.69,0.5,0.51,-1.16,-3.88
,,,,,,,0.51,0.66,0,-0.26,0.51,0.65,-0.44,-5.26,0.51,0.65,-0.27,-5.52,0.51,0.66,-0.58,-4.24,0.51,0.7,-0.13,0.28,0.51,0.6,-1.14,-1.45,0.51,0.43,-1.19,2.44,0.51,0.37,-1.02,4.68,0.51,0.59,-1.05,-2.17,0.51,0.5,-1.25,-5.12
,,,,,,,0.52,0.66,-0.01,-1.04,0.52,0.65,-0.49,-4.67,0.52,0.65,-0.33,-6.04,0.52,0.65,-0.63,-4.84,0.52,0.7,-0.13,-11.89,0.52,0.59,-1.15,-0.51,0.52,0.42,-1.2,7.65,0.52,0.36,-0.97,5.63,0.52,0.58,-1.07,-2.1,0.52,0.48,-1.26,4.75
,,,,,,,0.53,0.66,-0.02,-2.42,0.53,0.64,-0.53,-5.1,0.53,0.64,-0.39,-5.88,0.53,0.64,-0.67,-4.25,0.53,0.7,-0.37,-11.91,0.53,0.58,-1.15,0.07,0.53,0.41,-1.04,14.79,0.53,0.35,-0.91,5.59,0.53,0.57,-1.09,-2.81,0.53,0.47,-1.16,5.04
,,,,,,,0.54,0.66,-0.05,-3.52,0.54,0.64,-0.59,-5.78,0.54,0.64,-0.45,-6.83,0.54,0.64,-0.71,-4.91,0.54,0.69,-0.37,-2.07,0.54,0.56,-1.15,-0.5,0.54,0.4,-0.9,-1.95,0.54,0.34,-0.86,6.02,0.54,0.56,-1.12,-1.45,0.54,0.46,-1.16,2.8
,,,,,,,0.55,0.66,-0.09,-2.85,0.55,0.63,-0.65,-4.91,0.55,0.64,-0.53,-7.58,0.55,0.63,-0.77,-4.06,0.55,0.69,-0.41,-5.09,0.55,0.55,-1.16,-0.2,0.55,0.39,-1.08,-8.87,0.55,0.33,-0.79,6.5,0.55,0.55,-1.12,-0.3,0.55,0.45,-1.1,5.16
,,,,,,,0.56,0.66,-0.11,-3.54,0.56,0.62,-0.69,-3.97,0.56,0.63,-0.6,-6.21,0.56,0.62,-0.8,-2.95,0.56,0.69,-0.47,-5.7,0.56,0.54,-1.15,1.24,0.56,0.38,-1.08,1.5,0.56,0.33,-0.73,6.37,0.56,0.54,-1.13,-1.3,0.56,0.44,-1.06,1.64
,,,,,,,0.57,0.66,-0.16,-5.68,0.57,0.62,-0.73,-3.39,0.57,0.62,-0.65,-5.11,0.57,0.61,-0.83,-3.61,0.57,0.68,-0.52,-5.18,0.57,0.53,-1.13,1.8,0.57,0.37,-1.05,3.9,0.57,0.32,-0.66,8.51,0.57,0.52,-1.15,-1.37,0.57,0.43,-1.07,1.62
,,,,,,,0.58,0.66,-0.22,-5.17,0.58,0.61,-0.76,-3.89,0.58,0.62,-0.7,-5.55,0.58,0.6,-0.87,-2.68,0.58,0.67,-0.58,-5.19,0.58,0.52,-1.11,1.68,0.58,0.36,-1,4.55,0.58,0.31,-0.56,-0.77,0.58,0.51,-1.16,-0.38,0.58,0.41,-1.03,10.71
,,,,,,,0.59,0.65,-0.26,-4.85,0.59,0.6,-0.8,-4.05,0.59,0.61,-0.77,-6.21,0.59,0.6,-0.88,-2.02,0.59,0.67,-0.63,-5.27,0.59,0.51,-1.1,-1.23,0.59,0.35,-0.96,-3.35,0.59,0.31,-0.68,2.84,0.59,0.5,-1.15,-4.56,0.59,0.4,-0.85,13.28
,,,,,,,0.6,0.65,-0.32,-6.82,0.6,0.59,-0.84,-3.18,0.6,0.6,-0.83,-5.42,0.6,0.59,-0.91,-3.1,0.6,0.66,-0.68,-4.76,0.6,0.5,-1.14,-2.52,0.6,0.34,-1.07,4.35,0.6,0.3,-0.5,16.71,0.6,0.49,-1.25,-3.7,0.6,0.4,-0.76,-1.74
,,,,,,,0.61,0.65,-0.4,-7.42,0.61,0.58,-0.87,-2.17,0.61,0.59,-0.87,-3.9,0.61,0.58,-0.95,-2.89,0.61,0.66,-0.72,-4.76,0.61,0.48,-1.15,3.48,0.61,0.33,-0.87,19.84,0.61,0.3,-0.34,1.58,0.61,0.48,-1.23,5.42,0.61,0.39,-0.89,-6.59
,,,,,,,0.62,0.64,-0.47,-6.91,0.62,0.58,-0.88,-2.16,0.62,0.58,-0.91,-3.9,0.62,0.57,-0.97,-0.87,0.62,0.65,-0.78,-4.92,0.62,0.47,-1.07,7.4,0.62,0.32,-0.67,5.68,0.62,0.29,-0.47,2.92,0.62,0.47,-1.14,3.56,0.62,0.38,-0.89,2.79
,,,,,,,0.63,0.64,-0.54,-6.91,0.63,0.57,-0.91,-2.38,0.63,0.58,-0.95,-4.04,0.63,0.56,-0.96,-0.79,0.63,0.64,-0.82,-3.9,0.63,0.46,-1,3.6,0.63,0.31,-0.76,-0.01,0.63,0.29,-0.29,15.34,0.63,0.45,-1.16,2.69,0.63,0.37,-0.83,5.25
,,,,,,,0.64,0.63,-0.61,-7,0.64,0.56,-0.93,-0.87,0.64,0.57,-0.99,-3.11,0.64,0.55,-0.98,-1.44,0.64,0.63,-0.85,-3.82,0.64,0.45,-1,1.94,0.64,0.31,-0.67,5.83,0.64,0.29,-0.16,12.34,0.64,0.44,-1.08,6.13,0.64,0.36,-0.79,4.72
,,,,,,,0.65,0.63,-0.68,-6.57,0.65,0.55,-0.93,-0.73,0.65,0.56,-1.01,-2.6,0.65,0.54,-0.99,-0.5,0.65,0.62,-0.9,-4.49,0.65,0.44,-0.96,7.89,0.65,0.3,-0.64,-2.86,0.65,0.28,-0.04,9.14,0.65,0.43,-1.03,1.13,0.65,0.36,-0.74,5.15
,,,,,,,0.66,0.62,-0.74,-6.14,0.66,0.54,-0.95,-1.93,0.66,0.55,-1.04,-2.54,0.66,0.53,-0.99,-5.55E-13,0.66,0.61,-0.94,-3.7,0.66,0.43,-0.84,7.69,0.66,0.29,-0.73,5.48,0.66,0.29,0.02,1.33,0.66,0.42,-1.06,6.44,0.66,0.35,-0.69,6.34
,,,,,,,0.67,0.61,-0.8,-5.63,0.67,0.53,-0.97,-0.5,0.67,0.53,-1.06,-3.16,0.67,0.52,-0.99,0.44,0.67,0.6,-0.97,-2.17,0.67,0.43,-0.81,0.26,0.67,0.29,-0.53,19.6,0.67,0.28,-0.01,11.71,0.67,0.41,-0.91,12.14,0.67,0.34,-0.61,-2.56
,,,,,,,0.68,0.6,-0.85,-5.63,0.68,0.52,-0.96,0.13,0.68,0.52,-1.1,-1.86,0.68,0.51,-0.98,-2.9,0.68,0.59,-0.99,-2.09,0.68,0.42,-0.83,4.97,0.68,0.28,-0.34,-0.22,0.68,0.29,0.25,17.25,0.68,0.4,-0.82,-0.01,0.68,0.34,-0.74,6.07
,,,,,,,0.69,0.6,-0.91,-5.85,0.69,0.51,-0.96,-0.5,0.69,0.51,-1.1,-4.07,0.69,0.5,-1.05,-4.76,0.69,0.58,-1.01,-2.67,0.69,0.41,-0.71,15.78,0.69,0.28,-0.54,2.73,0.69,0.29,0.33,-0.59,0.69,0.39,-0.91,-4.53,0.69,0.33,-0.49,22.42
,,,,,,,0.7,0.59,-0.97,-4.41,0.7,0.5,-0.97,-3.39,0.7,0.5,-1.18,-7.17,0.7,0.49,-1.08,1.68,0.7,0.57,-1.04,-2.31,0.7,0.4,-0.52,10.62,0.7,0.27,-0.28,12.76,0.7,0.29,0.24,0.63,0.7,0.39,-0.91,1.49,0.7,0.33,-0.29,-2.85
,,,,,,,0.71,0.58,-1,-3.9,0.71,0.49,-1.03,-4.98,0.71,0.49,-1.25,1.29,0.71,0.48,-1.02,5.81,0.71,0.56,-1.06,-1.44,0.71,0.4,-0.5,-0.04,0.71,0.27,-0.28,3.18,0.71,0.29,0.35,9.23,0.71,0.38,-0.88,3.85,0.71,0.32,-0.55,-0.87
,,,,,,,0.72,0.57,-1.05,-4.04,0.72,0.48,-1.07,3.47,0.72,0.48,-1.16,5.48,0.72,0.47,-0.96,4.68,0.72,0.55,-1.07,-0.44,0.72,0.39,-0.52,0.19,0.72,0.27,-0.22,7.38,0.72,0.3,0.42,6.58,0.72,0.37,-0.83,4.29,0.72,0.32,-0.31,21.32
,,,,,,,0.73,0.55,-1.08,-3.11,0.73,0.47,-0.96,7.57,0.73,0.47,-1.14,-0.59,0.73,0.46,-0.92,1.85,0.73,0.54,-1.07,-0.37,0.73,0.39,-0.49,2.35,0.73,0.27,-0.13,-0.16,0.73,0.3,0.48,5.26,0.73,0.36,-0.79,4.72,0.73,0.32,-0.12,-1.42
,,,,,,,0.74,0.54,-1.11,-2.54,0.74,0.46,-0.91,2.46,0.74,0.45,-1.17,0.79,0.74,0.45,-0.92,0.43,0.74,0.53,-1.08,-1,0.74,0.38,-0.47,4.51,0.74,0.27,-0.22,6.74,0.74,0.31,0.53,-1.42,0.74,0.35,-0.74,5.15,0.74,0.31,-0.34,-6.95
,,,,,,,0.75,0.53,-1.13,-3.1,0.75,0.45,-0.91,-0.49,0.75,0.44,-1.12,1.69,0.75,0.44,-0.91,4.27,0.75,0.52,-1.09,-0.07,0.75,0.38,-0.4,6.95,0.75,0.26,0,28.34,0.75,0.31,0.45,-1.88,0.75,0.35,-0.69,6.29,0.75,0.31,-0.26,20.45
,,,,,,,0.76,0.52,-1.17,-2.24,0.76,0.44,-0.92,3.88,0.76,0.43,-1.14,-3.32,0.76,0.43,-0.84,5.14,0.76,0.51,-1.08,0.99,0.76,0.38,-0.33,6.52,0.76,0.27,0.34,7.21,0.76,0.32,0.49,20.14,0.76,0.34,-0.61,-2,0.76,0.31,0.07,13.53
,,,,,,,0.77,0.51,-1.18,-5.07,0.77,0.43,-0.84,4.49,0.77,0.42,-1.19,11.18,0.77,0.42,-0.81,0.82,0.77,0.5,-1.07,-3.45,0.77,0.37,-0.27,5.99,0.77,0.27,0.15,-23.86,0.77,0.32,0.85,22.14,0.77,0.33,-0.73,5.22,0.77,0.31,0.01,-0.03
,,,,,,,0.78,0.5,-1.27,-7.17,0.78,0.43,-0.83,-2.34,0.78,0.41,-0.91,17.96,0.78,0.41,-0.82,9.18,0.78,0.49,-1.15,-4.6,0.78,0.37,-0.21,6.41,0.78,0.27,-0.13,7.19,0.78,0.33,0.94,-1.19,0.78,0.32,-0.51,20.89,0.78,0.31,0.07,11.13
